	Status
	Internal ID
	Language
	Created At
	Updated At
	Location
	Browser Name
	Device Type
	Username
	GET Variables
	Referrer
	Number of Saves
	Weighted Score
	Completion Time
	IP Address
	Invite Code
	Invite Email
	Invite Name
	Collector
	Collector: qualitative
	Collector: artstext
	[state] In what state is your organization located?*
	[zip] In what zip code is your organization located? (Please include your 'plus-four' if you know it!)*
	[org_type] What type of organization are you? Choose the category that is most applicable.*
org_type_other_text	[org_type] What type of organization are you? Choose the category that is most applicable.* [other]
	[arts_org_type] What type of cultural organization are you? Please check the one discipline that is most representative:*
arts_org_type_fillin	[arts_org_type] What type of cultural organization are you? Please check the one discipline that is most representative:* [other]
year_founded_range	[year_founded] In what year was your organization founded?
	[opp_exp_max] What was your total annual operating expense for the fiscal year ending in 2014?*
lmi_serve_expanded	[lmi_serve] Does your organization serve low-income communities? Please select the option that is most applicable to you:*
	[lmi_loc] Is your organization located in a predominantly low-income area or neighborhood?*
	"[lifeline] Do you consider yourself a 'lifeline' organization (i.e., providing critical services or programs to people in need)?"
lmi_culture	"[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Access to cultural opportunities (theater, museums, etc.)]"
lmi_health	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Access to healthcare]
lmi_food	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Access to healthy foods]
lmi_housing	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Affordable housing]
lmi_retail	"[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Availability of commercial goods and services (access to retail, restaurants, pharmacies, etc.)]"
lmi_transit	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Availability of public transportation]
lmi_childcare	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Early childhood education]
lmi_jobs	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Job availability]
lmi_job_training	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Job training]
lmi_mentalhealth	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Mental health services]
lmi_recreation	"[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Recreational opportunities (e.g., spaces for physical fitness activities)]"
lmi_seniorcare	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Senior care]
lmi_schools	"[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Access to strong, well-performing schools]"
lmi_substanceabuse	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Substance abuse services]
lmi_veteransvc	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Veterans' Services]
lmi_youthdevel	[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Youth development programs]
lmi_other_yn	"[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Other, please specify...]"
lmi_other_text	"[lmi_needs] What do you think are the 3 most critical need(s) of the communities your organization serves? Please select no more than 3 needs. [Other, please specify...] [text]"
	"[past_demand_serv] In 2014, demand for my organization's services or programs:"
